OS;CLIENTE;PRODUTO;LANÇAMENTO;ENTREGA;STATUS
193;FOR-QUOTE COM. ELET. EXP. LTDA;SAPATA COL. P/ PANTOGRAFO CT-1868;29/04/2026;10/06/2026;LIBERADO EXPEDIÇÃO
189;FERRO INDUSTRIA;CHAVE CRUZETA EV-5291;25/03/2026;26/06/2026;EM PRODUÇÃO
190;FERRO INDUSTRIA;CHAVE UM-1686-MS;25/03/2026;26/06/2026;EM PRODUÇÃO
989;ARCELOR-MITTAL BARRA MANSA;CONJ PLUGUE MACHO E FEMEA;29/04/2026;29/06/2026;EM PRODUÇÃO
4806;TERNIUM;CHAVE CF-93ST;12/05/2026;04/07/2026;EM PRODUÇÃO
993;GERDAU PINDA;REPARO EM PONTE RETIFICADORA;13/05/2026;08/07/2026;EM PRODUÇÃO
994;GERDAU PINDA;REPARO EM PONTE RETIFICADORA;13/05/2026;08/07/2026;EM PRODUÇÃO
995;GERDAU PINDA;REPARO EM PONTE RETIFICADORA;13/05/2026;08/07/2026;EM PRODUÇÃO
996;GERDAU PINDA;REPARO EM PONTE RETIFICADORA;13/05/2026;08/07/2026;EM PRODUÇÃO
4807;ARCELOR-MITTAL TUBARÃO;CHAVE UM-1686-16;13/05/2026;16/07/2026;EM PRODUÇÃO
192;UNIGAL;CORDOALHA ELÉTRICA;23/04/2026;20/07/2026;EM PRODUÇÃO
4802;GERDAU PINDA;CARRO PORTA CABOS EV 5579 M;05/05/2026;20/07/2026;EM PRODUÇÃO
194;ELETRICA PJN;ISOLADOR SN 4444;12/05/2026;20/07/2026;EM PRODUÇÃO
1000;ARCELOR-MITTAL BRASIL;REPARO EM PANTOGRAFO;25/05/2026;20/07/2026;EM PRODUÇÃO
4815;ARCELOR-MITTAL TUBARÃO;CHAVE UM-1686-16;28/05/2026;21/07/2026;REVISÃO DEP TEC
4813;ARCELOR-MITTAL TUBARÃO;CHAVE LFC 441P;25/05/2026;24/07/2026;REVISÃO DEP TEC
4803;USIMINAS IPATINGA;CHAVE CSR 65P COM BLOCO;05/05/2026;29/07/2026;EM PRODUÇÃO
4808;USIMINAS IPATINGA;PERITAGEM EM DISJUNTOR;13/05/2026;31/07/2026;REVISÃO DEP TEC
4809;CSN VR;CONTATOR EV 2123;15/05/2026;05/08/2026;EM PRODUÇÃO
4805;USIMINAS IPATINGA;REPARO EM DISJUNTOR;11/05/2026;08/08/2026;EM PRODUÇÃO
4816;GERDAU PINDA;SUPORTE DO ISOLANTE EV 5278 C;28/05/2026;11/08/2026;EM PRODUÇÃO
4814;ARCELOR-MITTAL TUBARÃO;CHAVE CAC 61;25/05/2026;20/08/2026;EM PRODUÇÃO
4810;CSN VR;CONTATOR EV 2123;15/05/2026;23/08/2026;EM PRODUÇÃO
4811;GERDAU CEARENSE;FREIO TM 16;19/05/2026;25/08/2026;EM PRODUÇÃO
984;PETROBRAS IMBO;REPARO EM RESISTOR;02/04/2026;18/09/2026;REVISÃO DEP TEC
4819;TERNIUM;PANTOGRAFO SA 4916;02/06/2026;01/08/2026;EM PRODUÇÃO
1005;USIMINAS IPATINGA;CHAVE UM-1686-20;02/06/2026;20/08/2026;REVISÃO DEP TEC
1004;USIMINAS IPATINGA;CHAVE LFC 110 AI;02/06/2026;09/09/2026;REVISÃO DEP TEC
4820;ARCELOR-MITTAL PECÉM;CHAVE CE 81;03/03/2026;13/09/2026;REVISÃO DEP TEC
